Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   16:57:49

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
355.0000      	28169.0141    	-0.00056      
356.0000      	28089.8876    	0.00000       
357.0000      	28011.2045    	-0.00030      
358.0000      	27932.9609    	-0.00193      
359.0000      	27855.1532    	-0.00257      
360.0000      	27777.7778    	-0.00253      
361.0000      	27700.8310    	-0.00319      
362.0000      	27624.3094    	0.00191       
363.0000      	27548.2094    	0.00144       
364.0000      	27472.5275    	0.00342       
365.0000      	27397.2603    	0.00437       
366.0000      	27322.4044    	0.00071       
367.0000      	27247.9564    	0.00112       
368.0000      	27173.9130    	0.00197       
369.0000      	27100.2710    	0.00021       
370.0000      	27027.0270    	0.00054       
371.0000      	26954.1779    	-0.00073      
372.0000      	26881.7204    	0.00367       
373.0000      	26809.6515    	0.00091       
374.0000      	26737.9679    	0.00022       
375.0000      	26666.6667    	-0.00080      
376.0000      	26595.7447    	-0.00008      
377.0000      	26525.1989    	-0.00055      
378.0000      	26455.0265    	0.00103       
379.0000      	26385.2243    	-0.00030      
380.0000      	26315.7895    	0.00231       
381.0000      	26246.7192    	0.00142       
382.0000      	26178.0105    	0.00109       
383.0000      	26109.6606    	0.00149       
384.0000      	26041.6667    	-0.00001      
385.0000      	25974.0260    	0.00092       
386.0000      	25906.7358    	-0.00014      
387.0000      	25839.7933    	0.00070       
388.0000      	25773.1959    	0.00044       
389.0000      	25706.9409    	0.00244       
390.0000      	25641.0256    	0.00082       
391.0000      	25575.4476    	-0.00089      
392.0000      	25510.2041    	-0.00136      
393.0000      	25445.2926    	0.00090       
394.0000      	25380.7107    	0.00035       
395.0000      	25316.4557    	0.00135       
396.0000      	25252.5253    	-0.00172      
397.0000      	25188.9169    	0.00109       
398.0000      	25125.6281    	0.00165       
399.0000      	25062.6566    	-0.00058      
400.0000      	25000.0000    	-0.00105      
401.0000      	24937.6559    	0.00162       
402.0000      	24875.6219    	0.00197       
403.0000      	24813.8958    	-0.00011      
404.0000      	24752.4752    	0.00013       
405.0000      	24691.3580    	-0.00074      
406.0000      	24630.5419    	0.00929       
407.0000      	24570.0246    	0.00057       
408.0000      	24509.8039    	-0.00103      
409.0000      	24449.8778    	-0.00010      
410.0000      	24390.2439    	0.00022       
411.0000      	24330.9002    	0.00004       
412.0000      	24271.8447    	0.00058       
413.0000      	24213.0751    	-0.00037      
414.0000      	24154.5894    	-0.00100      
415.0000      	24096.3855    	0.00037       
416.0000      	24038.4615    	-0.00030      
417.0000      	23980.8153    	0.00207       
418.0000      	23923.4450    	-0.00209      
419.0000      	23866.3484    	-0.00094      
420.0000      	23809.5238    	0.00119       
421.0000      	23752.9691    	0.00149       
422.0000      	23696.6825    	0.00058       
423.0000      	23640.6619    	-0.00092      
424.0000      	23584.9057    	0.00192       
425.0000      	23529.4118    	0.00061       
426.0000      	23474.1784    	-0.00062      
427.0000      	23419.2037    	-0.00020      
428.0000      	23364.4860    	0.00077       
429.0000      	23310.0233    	0.00170       
430.0000      	23255.8140    	0.00057       
431.0000      	23201.8561    	-0.00064      
432.0000      	23148.1481    	-0.00043      
433.0000      	23094.6882    	-0.00017      
434.0000      	23041.4747    	0.00216       
435.0000      	22988.5057    	0.00017       
436.0000      	22935.7798    	0.00217       
437.0000      	22883.2952    	0.00049       
438.0000      	22831.0502    	0.00056       
439.0000      	22779.0433    	0.00065       
440.0000      	22727.2727    	0.00228       
441.0000      	22675.7370    	0.00125       
442.0000      	22624.4344    	0.00013       
443.0000      	22573.3634    	0.00074       
444.0000      	22522.5225    	0.00122       
445.0000      	22471.9101    	-0.00155      
446.0000      	22421.5247    	-0.00062      
447.0000      	22371.3647    	-0.00042      
448.0000      	22321.4286    	0.00226       
449.0000      	22271.7149    	0.00043       
450.0000      	22222.2222    	0.00203       
451.0000      	22172.9490    	0.00062       
452.0000      	22123.8938    	0.00064       
453.0000      	22075.0552    	0.00160       
454.0000      	22026.4317    	0.00179       
455.0000      	21978.0220    	0.00007       
456.0000      	21929.8246    	-0.00015      
457.0000      	21881.8381    	-0.00126      
458.0000      	21834.0611    	-0.00113      
459.0000      	21786.4924    	0.00084       
460.0000      	21739.1304    	0.00089       
461.0000      	21691.9740    	0.00099       
462.0000      	21645.0216    	0.00011       
463.0000      	21598.2721    	-0.00129      
464.0000      	21551.7241    	-0.00191      
465.0000      	21505.3763    	0.00092       
466.0000      	21459.2275    	-0.00020      
467.0000      	21413.2762    	0.00104       
468.0000      	21367.5214    	0.00040       
469.0000      	21321.9616    	0.00110       
470.0000      	21276.5957    	0.00072       
471.0000      	21231.4225    	0.00190       
472.0000      	21186.4407    	0.00028       
473.0000      	21141.6490    	0.00050       
474.0000      	21097.0464    	-0.00019      
475.0000      	21052.6316    	-0.00020      
476.0000      	21008.4034    	0.00109       
477.0000      	20964.3606    	-0.00027      
