Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   16:40:34

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
255.0000      	39215.6863    	-0.01218      
256.0000      	39062.5000    	-0.00222      
257.0000      	38910.5058    	0.00354       
258.0000      	38759.6899    	-0.00038      
259.0000      	38610.0386    	0.00422       
260.0000      	38461.5385    	0.01431       
261.0000      	38314.1762    	0.00962       
262.0000      	38167.9389    	-0.01424      
263.0000      	38022.8137    	0.00110       
264.0000      	37878.7879    	0.00555       
265.0000      	37735.8491    	-0.01336      
266.0000      	37593.9850    	-0.00677      
267.0000      	37453.1835    	-0.01544      
268.0000      	37313.4328    	-0.00201      
269.0000      	37174.7212    	-0.01618      
270.0000      	37037.0370    	0.00260       
271.0000      	36900.3690    	-0.00212      
272.0000      	36764.7059    	0.00660       
273.0000      	36630.0366    	0.00799       
274.0000      	36496.3504    	-0.00423      
275.0000      	36363.6364    	-0.00197      
276.0000      	36231.8841    	-0.00598      
277.0000      	36101.0830    	-0.00316      
278.0000      	35971.2230    	-0.00354      
279.0000      	35842.2939    	-0.00192      
280.0000      	35714.2857    	-0.00833      
281.0000      	35587.1886    	-0.00307      
282.0000      	35460.9929    	-0.00152      
283.0000      	35335.6890    	-0.00650      
284.0000      	35211.2676    	-0.00067      
285.0000      	35087.7193    	-0.00719      
286.0000      	34965.0350    	-0.00956      
287.0000      	34843.2056    	0.01077       
288.0000      	34722.2222    	0.01317       
289.0000      	34602.0761    	-0.00351      
290.0000      	34482.7586    	0.00544       
291.0000      	34364.2612    	0.00673       
292.0000      	34246.5753    	0.00259       
293.0000      	34129.6928    	-0.00435      
294.0000      	34013.6054    	-0.00137      
295.0000      	33898.3051    	-0.00190      
296.0000      	33783.7838    	0.00296       
297.0000      	33670.0337    	-0.00079      
298.0000      	33557.0470    	0.00317       
299.0000      	33444.8161    	-0.00320      
300.0000      	33333.3333    	-0.00069      
301.0000      	33222.5914    	0.00276       
302.0000      	33112.5828    	0.00569       
