Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   16:41:09

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
200.0000      	50000.0000    	-0.15760      
201.0000      	49751.2438    	0.33915       
202.0000      	49504.9505    	0.43687       
203.0000      	49261.0837    	-0.35251      
204.0000      	49019.6078    	-0.29459      
205.0000      	48780.4878    	0.21633       
206.0000      	48543.6893    	-0.41734      
207.0000      	48309.1787    	-0.49520      
208.0000      	48076.9231    	-0.34386      
209.0000      	47846.8900    	0.01612       
210.0000      	47619.0476    	0.37795       
211.0000      	47393.3649    	-0.08647      
212.0000      	47169.8113    	-0.18483      
213.0000      	46948.3568    	0.10030       
214.0000      	46728.9720    	-0.04865      
215.0000      	46511.6279    	0.07458       
216.0000      	46296.2963    	-0.15213      
217.0000      	46082.9493    	0.07746       
218.0000      	45871.5596    	-0.07775      
219.0000      	45662.1005    	-0.10787      
220.0000      	45454.5455    	-0.15295      
221.0000      	45248.8688    	-0.01870      
222.0000      	45045.0450    	0.00695       
223.0000      	44843.0493    	-0.14606      
224.0000      	44642.8571    	-0.05778      
225.0000      	44444.4444    	-0.12265      
226.0000      	44247.7876    	-0.05203      
227.0000      	44052.8634    	0.07600       
228.0000      	43859.6491    	-0.01077      
229.0000      	43668.1223    	0.00774       
230.0000      	43478.2609    	-0.01088      
231.0000      	43290.0433    	0.00177       
232.0000      	43103.4483    	-0.02194      
233.0000      	42918.4549    	0.00496       
234.0000      	42735.0427    	0.01721       
235.0000      	42553.1915    	0.00577       
236.0000      	42372.8814    	-0.00684      
237.0000      	42194.0928    	-0.01557      
238.0000      	42016.8067    	0.00943       
239.0000      	41841.0042    	-0.01940      
240.0000      	41666.6667    	-0.00264      
241.0000      	41493.7759    	-0.00019      
242.0000      	41322.3140    	0.00199       
243.0000      	41152.2634    	0.01000       
244.0000      	40983.6066    	0.00232       
245.0000      	40816.3265    	0.01804       
246.0000      	40650.4065    	-0.01303      
247.0000      	40485.8300    	0.00907       
248.0000      	40322.5806    	-0.00559      
249.0000      	40160.6426    	0.01026       
250.0000      	40000.0000    	-0.01412      
251.0000      	39840.6375    	-0.01235      
252.0000      	39682.5397    	0.01569       
253.0000      	39525.6917    	0.00890       
254.0000      	39370.0787    	-0.00022      
255.0000      	39215.6863    	-0.01711      
256.0000      	39062.5000    	-0.01057      
257.0000      	38910.5058    	0.01191       
258.0000      	38759.6899    	0.00601       
259.0000      	38610.0386    	0.01643       
260.0000      	38461.5385    	0.01085       
261.0000      	38314.1762    	0.00629       
262.0000      	38167.9389    	-0.01184      
263.0000      	38022.8137    	0.01484       
264.0000      	37878.7879    	0.01342       
265.0000      	37735.8491    	-0.01312      
266.0000      	37593.9850    	-0.01268      
267.0000      	37453.1835    	0.00071       
268.0000      	37313.4328    	0.01106       
269.0000      	37174.7212    	-0.01603      
270.0000      	37037.0370    	-0.00741      
271.0000      	36900.3690    	-0.00462      
272.0000      	36764.7059    	0.00287       
273.0000      	36630.0366    	0.01232       
274.0000      	36496.3504    	-0.00338      
275.0000      	36363.6364    	-0.00653      
276.0000      	36231.8841    	-0.00557      
277.0000      	36101.0830    	0.00538       
278.0000      	35971.2230    	-0.00380      
279.0000      	35842.2939    	0.00404       
280.0000      	35714.2857    	-0.00456      
281.0000      	35587.1886    	-0.01413      
282.0000      	35460.9929    	-0.00629      
283.0000      	35335.6890    	-0.00184      
284.0000      	35211.2676    	-0.00103      
285.0000      	35087.7193    	-0.00024      
286.0000      	34965.0350    	-0.01225      
287.0000      	34843.2056    	-0.00137      
288.0000      	34722.2222    	0.00882       
289.0000      	34602.0761    	-0.00819      
290.0000      	34482.7586    	0.00356       
291.0000      	34364.2612    	0.00684       
292.0000      	34246.5753    	0.00502       
293.0000      	34129.6928    	-0.00161      
294.0000      	34013.6054    	-0.00056      
295.0000      	33898.3051    	0.00252       
296.0000      	33783.7838    	-0.00527      
297.0000      	33670.0337    	-0.00321      
298.0000      	33557.0470    	0.00154       
299.0000      	33444.8161    	-0.00529      
300.0000      	33333.3333    	-0.00308      
301.0000      	33222.5914    	0.00588       
302.0000      	33112.5828    	0.00493       
303.0000      	33003.3003    	-0.00022      
304.0000      	32894.7368    	-0.00568      
305.0000      	32786.8852    	-0.00393      
306.0000      	32679.7386    	-0.00752      
307.0000      	32573.2899    	-0.00561      
308.0000      	32467.5325    	0.00239       
309.0000      	32362.4595    	-0.00247      
310.0000      	32258.0645    	0.00376       
311.0000      	32154.3408    	0.00449       
312.0000      	32051.2821    	0.00193       
313.0000      	31948.8818    	0.00491       
314.0000      	31847.1338    	0.00003       
315.0000      	31746.0317    	0.00102       
316.0000      	31645.5696    	-0.00933      
317.0000      	31545.7413    	0.00357       
318.0000      	31446.5409    	0.00790       
319.0000      	31347.9624    	-0.00275      
320.0000      	31250.0000    	-0.00168      
321.0000      	31152.6480    	0.00107       
322.0000      	31055.9006    	-0.00200      
323.0000      	30959.7523    	0.00139       
324.0000      	30864.1975    	0.00159       
325.0000      	30769.2308    	-0.00352      
326.0000      	30674.8466    	-0.00089      
327.0000      	30581.0398    	-0.00115      
328.0000      	30487.8049    	0.00130       
329.0000      	30395.1368    	-0.00077      
330.0000      	30303.0303    	-0.00444      
331.0000      	30211.4804    	-0.00706      
332.0000      	30120.4819    	0.00057       
333.0000      	30030.0300    	-0.00041      
334.0000      	29940.1198    	0.00248       
335.0000      	29850.7463    	0.00060       
336.0000      	29761.9048    	-0.00459      
337.0000      	29673.5905    	-0.00212      
338.0000      	29585.7988    	-0.00039      
339.0000      	29498.5251    	-0.00139      
340.0000      	29411.7647    	0.00408       
341.0000      	29325.5132    	-0.00019      
342.0000      	29239.7661    	-0.00167      
343.0000      	29154.5190    	-0.00036      
344.0000      	29069.7674    	-0.00325      
345.0000      	28985.5072    	-0.00106      
346.0000      	28901.7341    	-0.00195      
347.0000      	28818.4438    	-0.00028      
348.0000      	28735.6322    	-0.00084      
349.0000      	28653.2951    	-0.00133      
350.0000      	28571.4286    	0.00044       
351.0000      	28490.0285    	0.00112       
352.0000      	28409.0909    	-0.00215      
353.0000      	28328.6119    	-0.00109      
354.0000      	28248.5876    	-0.00121      
355.0000      	28169.0141    	0.00004       
356.0000      	28089.8876    	0.00108       
357.0000      	28011.2045    	-0.00083      
358.0000      	27932.9609    	-0.00103      
359.0000      	27855.1532    	-0.00121      
360.0000      	27777.7778    	-0.00436      
361.0000      	27700.8310    	-0.00253      
362.0000      	27624.3094    	0.00123       
363.0000      	27548.2094    	0.00130       
364.0000      	27472.5275    	0.00052       
365.0000      	27397.2603    	0.00012       
366.0000      	27322.4044    	-0.00031      
367.0000      	27247.9564    	-0.00032      
368.0000      	27173.9130    	-0.00002      
369.0000      	27100.2710    	0.00238       
370.0000      	27027.0270    	-0.00010      
371.0000      	26954.1779    	-0.00018      
372.0000      	26881.7204    	0.00369       
373.0000      	26809.6515    	0.00079       
374.0000      	26737.9679    	0.00023       
375.0000      	26666.6667    	-0.00043      
376.0000      	26595.7447    	-0.00070      
377.0000      	26525.1989    	0.00062       
378.0000      	26455.0265    	-0.00038      
379.0000      	26385.2243    	-0.00049      
380.0000      	26315.7895    	0.00195       
381.0000      	26246.7192    	0.00015       
382.0000      	26178.0105    	0.00101       
383.0000      	26109.6606    	0.00073       
384.0000      	26041.6667    	0.00033       
385.0000      	25974.0260    	0.00034       
386.0000      	25906.7358    	-0.00117      
387.0000      	25839.7933    	0.00021       
388.0000      	25773.1959    	0.00163       
389.0000      	25706.9409    	0.00089       
390.0000      	25641.0256    	0.00005       
391.0000      	25575.4476    	-0.00077      
392.0000      	25510.2041    	-0.00265      
393.0000      	25445.2926    	-0.00037      
394.0000      	25380.7107    	0.00035       
395.0000      	25316.4557    	-0.00058      
396.0000      	25252.5253    	-0.00188      
397.0000      	25188.9169    	-0.00186      
398.0000      	25125.6281    	-0.00072      
399.0000      	25062.6566    	-0.00053      
400.0000      	25000.0000    	-0.00024      
401.0000      	24937.6559    	0.00079       
402.0000      	24875.6219    	0.00112       
403.0000      	24813.8958    	-0.00063      
404.0000      	24752.4752    	-0.00003      
405.0000      	24691.3580    	-0.00085      
406.0000      	24630.5419    	0.00822       
407.0000      	24570.0246    	0.00080       
408.0000      	24509.8039    	-0.00122      
409.0000      	24449.8778    	-0.00126      
410.0000      	24390.2439    	-0.00138      
411.0000      	24330.9002    	-0.00108      
412.0000      	24271.8447    	-0.00161      
413.0000      	24213.0751    	0.00050       
414.0000      	24154.5894    	-0.00126      
415.0000      	24096.3855    	-0.00095      
416.0000      	24038.4615    	0.00038       
417.0000      	23980.8153    	0.00270       
418.0000      	23923.4450    	-0.00158      
419.0000      	23866.3484    	-0.00056      
420.0000      	23809.5238    	0.00141       
421.0000      	23752.9691    	-0.00014      
422.0000      	23696.6825    	0.00074       
423.0000      	23640.6619    	0.00121       
424.0000      	23584.9057    	0.00146       
425.0000      	23529.4118    	0.00106       
426.0000      	23474.1784    	-0.00089      
427.0000      	23419.2037    	-0.00023      
428.0000      	23364.4860    	-0.00041      
429.0000      	23310.0233    	0.00177       
430.0000      	23255.8140    	-0.00089      
431.0000      	23201.8561    	-0.00019      
432.0000      	23148.1481    	-0.00054      
433.0000      	23094.6882    	0.00126       
434.0000      	23041.4747    	0.00062       
435.0000      	22988.5057    	-0.00095      
436.0000      	22935.7798    	0.00071       
437.0000      	22883.2952    	0.00126       
438.0000      	22831.0502    	-0.00049      
439.0000      	22779.0433    	0.00049       
440.0000      	22727.2727    	-0.00061      
441.0000      	22675.7370    	-0.00057      
442.0000      	22624.4344    	0.00078       
443.0000      	22573.3634    	-0.00028      
444.0000      	22522.5225    	-0.00001      
445.0000      	22471.9101    	-0.00170      
446.0000      	22421.5247    	-0.00030      
447.0000      	22371.3647    	0.00051       
448.0000      	22321.4286    	-0.00022      
449.0000      	22271.7149    	0.00005       
450.0000      	22222.2222    	-0.00007      
451.0000      	22172.9490    	0.00039       
452.0000      	22123.8938    	-0.00046      
453.0000      	22075.0552    	0.00062       
454.0000      	22026.4317    	-0.00011      
455.0000      	21978.0220    	-0.00111      
456.0000      	21929.8246    	0.00015       
457.0000      	21881.8381    	-0.00133      
458.0000      	21834.0611    	-0.00168      
459.0000      	21786.4924    	0.00141       
460.0000      	21739.1304    	0.00242       
461.0000      	21691.9740    	0.00093       
462.0000      	21645.0216    	-0.00022      
463.0000      	21598.2721    	-0.00023      
464.0000      	21551.7241    	-0.00069      
465.0000      	21505.3763    	-0.00044      
466.0000      	21459.2275    	0.00005       
467.0000      	21413.2762    	0.00206       
468.0000      	21367.5214    	0.00041       
469.0000      	21321.9616    	0.00024       
470.0000      	21276.5957    	0.00038       
471.0000      	21231.4225    	0.00150       
472.0000      	21186.4407    	0.00138       
473.0000      	21141.6490    	0.00146       
474.0000      	21097.0464    	0.00005       
475.0000      	21052.6316    	-0.00081      
476.0000      	21008.4034    	0.00097       
477.0000      	20964.3606    	-0.00033      
478.0000      	20920.5021    	-0.00024      
479.0000      	20876.8267    	0.00020       
480.0000      	20833.3333    	0.00027       
481.0000      	20790.0208    	-0.00009      
482.0000      	20746.8880    	0.00112       
483.0000      	20703.9337    	-0.00088      
484.0000      	20661.1570    	-0.00097      
485.0000      	20618.5567    	-0.00059      
486.0000      	20576.1317    	0.00053       
487.0000      	20533.8809    	-0.00040      
488.0000      	20491.8033    	0.00038       
489.0000      	20449.8978    	0.00022       
490.0000      	20408.1633    	0.00002       
491.0000      	20366.5988    	0.00034       
492.0000      	20325.2033    	0.00005       
493.0000      	20283.9757    	0.00019       
494.0000      	20242.9150    	0.00026       
495.0000      	20202.0202    	-0.00023      
496.0000      	20161.2903    	0.00015       
497.0000      	20120.7243    	0.00008       
498.0000      	20080.3213    	-0.00044      
499.0000      	20040.0802    	-0.00013      
500.0000      	20000.0000    	0.00010       
501.0000      	19960.0798    	0.00067       
502.0000      	19920.3187    	-0.00023      
503.0000      	19880.7157    	-0.00037      
504.0000      	19841.2698    	0.00040       
505.0000      	19801.9802    	0.00113       
506.0000      	19762.8458    	0.00031       
507.0000      	19723.8659    	0.00019       
508.0000      	19685.0394    	-0.00010      
509.0000      	19646.3654    	0.00044       
510.0000      	19607.8431    	-0.00028      
511.0000      	19569.4716    	-0.00021      
512.0000      	19531.2500    	0.00011       
513.0000      	19493.1774    	0.00022       
514.0000      	19455.2529    	-0.00008      
515.0000      	19417.4757    	0.00024       
516.0000      	19379.8450    	-0.00003      
517.0000      	19342.3598    	-0.00038      
518.0000      	19305.0193    	-0.00040      
519.0000      	19267.8227    	-0.00031      
520.0000      	19230.7692    	0.00022       
521.0000      	19193.8580    	0.00016       
522.0000      	19157.0881    	-0.00003      
523.0000      	19120.4589    	-0.00008      
524.0000      	19083.9695    	0.00014       
525.0000      	19047.6190    	0.00029       
526.0000      	19011.4068    	-0.00057      
527.0000      	18975.3321    	-0.00005      
528.0000      	18939.3939    	-0.00033      
529.0000      	18903.5917    	-0.00032      
530.0000      	18867.9245    	-0.00025      
531.0000      	18832.3917    	-0.00001      
532.0000      	18796.9925    	0.00006       
533.0000      	18761.7261    	-0.00052      
534.0000      	18726.5918    	-0.00008      
535.0000      	18691.5888    	-0.00062      
536.0000      	18656.7164    	-0.00043      
537.0000      	18621.9739    	0.00007       
538.0000      	18587.3606    	0.00020       
539.0000      	18552.8757    	0.00049       
540.0000      	18518.5185    	-0.00002      
541.0000      	18484.2884    	0.00025       
542.0000      	18450.1845    	0.00031       
543.0000      	18416.2063    	0.00001       
544.0000      	18382.3529    	0.00017       
545.0000      	18348.6239    	0.00046       
546.0000      	18315.0183    	0.00079       
