Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   16:48:18

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
200.0000      	50000.0000    	0.98937       
201.0000      	49751.2438    	0.51551       
202.0000      	49504.9505    	0.50637       
203.0000      	49261.0837    	-0.63452      
204.0000      	49019.6078    	0.03425       
205.0000      	48780.4878    	0.25754       
206.0000      	48543.6893    	-0.07483      
207.0000      	48309.1787    	-0.37910      
208.0000      	48076.9231    	-0.38745      
209.0000      	47846.8900    	-0.30630      
210.0000      	47619.0476    	0.43831       
211.0000      	47393.3649    	0.07641       
212.0000      	47169.8113    	0.09967       
213.0000      	46948.3568    	-0.10030      
214.0000      	46728.9720    	-0.13543      
215.0000      	46511.6279    	0.10819       
216.0000      	46296.2963    	-0.00444      
217.0000      	46082.9493    	0.19366       
218.0000      	45871.5596    	-0.06479      
219.0000      	45662.1005    	-0.04736      
220.0000      	45454.5455    	-0.07875      
221.0000      	45248.8688    	0.10833       
222.0000      	45045.0450    	0.03681       
223.0000      	44843.0493    	-0.04829      
224.0000      	44642.8571    	-0.03965      
225.0000      	44444.4444    	-0.01247      
226.0000      	44247.7876    	0.12828       
227.0000      	44052.8634    	0.04733       
228.0000      	43859.6491    	0.00828       
229.0000      	43668.1223    	0.01818       
230.0000      	43478.2609    	0.00816       
231.0000      	43290.0433    	0.02053       
232.0000      	43103.4483    	-0.00754      
233.0000      	42918.4549    	0.01704       
234.0000      	42735.0427    	0.02943       
235.0000      	42553.1915    	0.04452       
236.0000      	42372.8814    	0.02811       
237.0000      	42194.0928    	-0.01958      
238.0000      	42016.8067    	0.01633       
239.0000      	41841.0042    	0.02500       
240.0000      	41666.6667    	0.04001       
241.0000      	41493.7759    	0.00213       
242.0000      	41322.3140    	0.01535       
243.0000      	41152.2634    	0.01534       
244.0000      	40983.6066    	-0.02238      
245.0000      	40816.3265    	-0.00269      
246.0000      	40650.4065    	0.00359       
247.0000      	40485.8300    	0.01742       
248.0000      	40322.5806    	-0.00112      
249.0000      	40160.6426    	0.01906       
250.0000      	40000.0000    	0.00449       
251.0000      	39840.6375    	-0.00847      
252.0000      	39682.5397    	0.01776       
253.0000      	39525.6917    	0.01351       
254.0000      	39370.0787    	0.00980       
255.0000      	39215.6863    	-0.00241      
256.0000      	39062.5000    	0.01359       
257.0000      	38910.5058    	-0.00177      
258.0000      	38759.6899    	0.00935       
259.0000      	38610.0386    	0.01577       
260.0000      	38461.5385    	0.00474       
261.0000      	38314.1762    	-0.00036      
262.0000      	38167.9389    	-0.00755      
263.0000      	38022.8137    	0.00076       
264.0000      	37878.7879    	0.01781       
265.0000      	37735.8491    	-0.00921      
