Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   18:28:12

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
460.0000      	21739.1304    	0.00383       
461.0000      	21691.9740    	0.00305       
462.0000      	21645.0216    	0.00194       
463.0000      	21598.2721    	0.00230       
464.0000      	21551.7241    	0.00154       
465.0000      	21505.3763    	0.00142       
466.0000      	21459.2275    	0.00019       
467.0000      	21413.2762    	0.00227       
468.0000      	21367.5214    	0.00355       
469.0000      	21321.9616    	0.00319       
470.0000      	21276.5957    	0.00241       
471.0000      	21231.4225    	0.00239       
472.0000      	21186.4407    	0.00276       
473.0000      	21141.6490    	0.00184       
474.0000      	21097.0464    	0.00160       
475.0000      	21052.6316    	0.00325       
476.0000      	21008.4034    	0.00365       
477.0000      	20964.3606    	0.00162       
478.0000      	20920.5021    	0.00181       
479.0000      	20876.8267    	0.00272       
480.0000      	20833.3333    	0.00350       
481.0000      	20790.0208    	0.00375       
482.0000      	20746.8880    	0.00444       
483.0000      	20703.9337    	0.00352       
484.0000      	20661.1570    	0.00395       
485.0000      	20618.5567    	0.00441       
486.0000      	20576.1317    	0.00616       
487.0000      	20533.8809    	0.00622       
488.0000      	20491.8033    	0.00725       
489.0000      	20449.8978    	0.00846       
490.0000      	20408.1633    	0.00996       
491.0000      	20366.5988    	0.01138       
492.0000      	20325.2033    	0.01242       
493.0000      	20283.9757    	0.01416       
494.0000      	20242.9150    	0.01668       
495.0000      	20202.0202    	0.01956       
496.0000      	20161.2903    	0.02331       
497.0000      	20120.7243    	0.02741       
498.0000      	20080.3213    	0.03145       
499.0000      	20040.0802    	0.03515       
500.0000      	20000.0000    	0.04159       
501.0000      	19960.0798    	0.04981       
502.0000      	19920.3187    	0.05905       
503.0000      	19880.7157    	0.06919       
504.0000      	19841.2698    	0.08237       
505.0000      	19801.9802    	0.09718       
506.0000      	19762.8458    	0.10519       
507.0000      	19723.8659    	0.12494       
508.0000      	19685.0394    	0.14648       
509.0000      	19646.3654    	0.17214       
510.0000      	19607.8431    	0.20314       
511.0000      	19569.4716    	0.23462       
512.0000      	19531.2500    	0.27171       
