Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   18:29:55

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
200.0000      	50000.0000    	1.19950       
201.0000      	49751.2438    	0.47142       
202.0000      	49504.9505    	1.09217       
203.0000      	49261.0837    	-0.56402      
204.0000      	49019.6078    	0.26034       
205.0000      	48780.4878    	-0.27814      
206.0000      	48543.6893    	0.02878       
207.0000      	48309.1787    	0.13742       
208.0000      	48076.9231    	-0.01453      
209.0000      	47846.8900    	-0.05988      
210.0000      	47619.0476    	0.10761       
211.0000      	47393.3649    	0.10055       
212.0000      	47169.8113    	0.10510       
213.0000      	46948.3568    	0.22684       
214.0000      	46728.9720    	0.09598       
215.0000      	46511.6279    	0.01891       
216.0000      	46296.2963    	0.00222       
217.0000      	46082.9493    	0.14294       
218.0000      	45871.5596    	-0.04579      
219.0000      	45662.1005    	-0.12015      
220.0000      	45454.5455    	0.04695       
221.0000      	45248.8688    	0.12314       
222.0000      	45045.0450    	0.05487       
223.0000      	44843.0493    	0.02120       
224.0000      	44642.8571    	0.04418       
225.0000      	44444.4444    	-0.04106      
226.0000      	44247.7876    	0.06852       
227.0000      	44052.8634    	0.10513       
228.0000      	43859.6491    	0.05136       
229.0000      	43668.1223    	0.03945       
230.0000      	43478.2609    	-0.04509      
231.0000      	43290.0433    	-0.07787      
232.0000      	43103.4483    	-0.00686      
233.0000      	42918.4549    	0.06660       
234.0000      	42735.0427    	0.07329       
235.0000      	42553.1915    	0.04617       
236.0000      	42372.8814    	0.01798       
237.0000      	42194.0928    	0.00402       
238.0000      	42016.8067    	0.03427       
239.0000      	41841.0042    	0.01315       
240.0000      	41666.6667    	0.01828       
241.0000      	41493.7759    	-0.00543      
242.0000      	41322.3140    	0.00722       
243.0000      	41152.2634    	0.01672       
244.0000      	40983.6066    	0.00348       
245.0000      	40816.3265    	0.03354       
246.0000      	40650.4065    	-0.00030      
247.0000      	40485.8300    	0.00863       
248.0000      	40322.5806    	-0.00266      
249.0000      	40160.6426    	0.02946       
250.0000      	40000.0000    	0.02234       
251.0000      	39840.6375    	-0.00327      
252.0000      	39682.5397    	0.02480       
253.0000      	39525.6917    	-0.00516      
254.0000      	39370.0787    	0.00711       
255.0000      	39215.6863    	0.01659       
256.0000      	39062.5000    	0.01661       
257.0000      	38910.5058    	0.02156       
258.0000      	38759.6899    	0.01403       
259.0000      	38610.0386    	0.03990       
260.0000      	38461.5385    	0.02670       
261.0000      	38314.1762    	0.02661       
262.0000      	38167.9389    	0.01106       
263.0000      	38022.8137    	0.01357       
264.0000      	37878.7879    	0.02692       
265.0000      	37735.8491    	0.00758       
266.0000      	37593.9850    	0.00000       
267.0000      	37453.1835    	0.00245       
268.0000      	37313.4328    	0.01261       
269.0000      	37174.7212    	0.00330       
270.0000      	37037.0370    	0.01179       
271.0000      	36900.3690    	0.01290       
272.0000      	36764.7059    	0.01170       
273.0000      	36630.0366    	0.02312       
274.0000      	36496.3504    	0.01113       
275.0000      	36363.6364    	0.00997       
276.0000      	36231.8841    	0.00319       
277.0000      	36101.0830    	-0.00256      
278.0000      	35971.2230    	0.00494       
279.0000      	35842.2939    	0.01160       
280.0000      	35714.2857    	0.00430       
281.0000      	35587.1886    	0.01400       
282.0000      	35460.9929    	0.00718       
283.0000      	35335.6890    	-0.00110      
284.0000      	35211.2676    	0.00121       
285.0000      	35087.7193    	0.00042       
286.0000      	34965.0350    	0.00521       
287.0000      	34843.2056    	0.00976       
288.0000      	34722.2222    	0.00441       
289.0000      	34602.0761    	-0.01376      
290.0000      	34482.7586    	0.00483       
291.0000      	34364.2612    	0.01400       
292.0000      	34246.5753    	0.01030       
293.0000      	34129.6928    	0.00207       
294.0000      	34013.6054    	0.00238       
295.0000      	33898.3051    	-0.00021      
296.0000      	33783.7838    	0.00437       
297.0000      	33670.0337    	0.00123       
298.0000      	33557.0470    	0.00879       
299.0000      	33444.8161    	0.00264       
300.0000      	33333.3333    	0.00235       
301.0000      	33222.5914    	0.00547       
302.0000      	33112.5828    	0.01039       
303.0000      	33003.3003    	0.00246       
304.0000      	32894.7368    	0.00215       
305.0000      	32786.8852    	0.00254       
306.0000      	32679.7386    	-0.00814      
307.0000      	32573.2899    	0.00139       
308.0000      	32467.5325    	0.00553       
309.0000      	32362.4595    	0.00095       
310.0000      	32258.0645    	-0.00098      
311.0000      	32154.3408    	0.00603       
312.0000      	32051.2821    	0.00919       
313.0000      	31948.8818    	0.00891       
314.0000      	31847.1338    	0.00465       
315.0000      	31746.0317    	0.00306       
316.0000      	31645.5696    	-0.00376      
317.0000      	31545.7413    	-0.00106      
318.0000      	31446.5409    	0.00404       
319.0000      	31347.9624    	-0.00199      
320.0000      	31250.0000    	0.00257       
321.0000      	31152.6480    	0.00249       
322.0000      	31055.9006    	0.00220       
323.0000      	30959.7523    	0.00311       
324.0000      	30864.1975    	0.00459       
325.0000      	30769.2308    	0.00175       
326.0000      	30674.8466    	0.00073       
327.0000      	30581.0398    	-0.00112      
328.0000      	30487.8049    	0.00435       
329.0000      	30395.1368    	0.00416       
330.0000      	30303.0303    	0.00129       
331.0000      	30211.4804    	-0.00295      
332.0000      	30120.4819    	0.00265       
333.0000      	30030.0300    	-0.00029      
334.0000      	29940.1198    	0.00035       
335.0000      	29850.7463    	0.00296       
336.0000      	29761.9048    	-0.00037      
337.0000      	29673.5905    	0.00179       
338.0000      	29585.7988    	0.00096       
339.0000      	29498.5251    	-0.00249      
340.0000      	29411.7647    	0.00498       
341.0000      	29325.5132    	0.00395       
342.0000      	29239.7661    	0.00176       
343.0000      	29154.5190    	0.00161       
344.0000      	29069.7674    	-0.00219      
345.0000      	28985.5072    	0.00219       
346.0000      	28901.7341    	0.00139       
347.0000      	28818.4438    	0.00137       
348.0000      	28735.6322    	-0.00088      
349.0000      	28653.2951    	-0.00019      
350.0000      	28571.4286    	0.00115       
351.0000      	28490.0285    	-0.00058      
352.0000      	28409.0909    	0.00000       
353.0000      	28328.6119    	-0.00084      
354.0000      	28248.5876    	-0.00134      
355.0000      	28169.0141    	-0.00061      
356.0000      	28089.8876    	0.00021       
357.0000      	28011.2045    	0.00121       
358.0000      	27932.9609    	0.00047       
359.0000      	27855.1532    	-0.00067      
360.0000      	27777.7778    	-0.00278      
361.0000      	27700.8310    	-0.00042      
362.0000      	27624.3094    	0.00154       
363.0000      	27548.2094    	0.00175       
364.0000      	27472.5275    	0.00338       
365.0000      	27397.2603    	0.00186       
366.0000      	27322.4044    	-0.00015      
367.0000      	27247.9564    	0.00183       
368.0000      	27173.9130    	0.00116       
369.0000      	27100.2710    	0.00231       
370.0000      	27027.0270    	0.00061       
371.0000      	26954.1779    	-0.00045      
372.0000      	26881.7204    	0.00411       
373.0000      	26809.6515    	0.00270       
374.0000      	26737.9679    	0.00237       
375.0000      	26666.6667    	-0.00002      
376.0000      	26595.7447    	0.00105       
377.0000      	26525.1989    	0.00085       
378.0000      	26455.0265    	-0.00030      
379.0000      	26385.2243    	0.00125       
380.0000      	26315.7895    	0.00371       
381.0000      	26246.7192    	0.00100       
382.0000      	26178.0105    	0.00097       
383.0000      	26109.6606    	0.00311       
