Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   16:46:12

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
200.0000      	50000.0000    	0.28893       
201.0000      	49751.2438    	0.21367       
202.0000      	49504.9505    	0.82740       
203.0000      	49261.0837    	-0.35251      
204.0000      	49019.6078    	-0.77416      
205.0000      	48780.4878    	-0.09271      
206.0000      	48543.6893    	-0.00288      
207.0000      	48309.1787    	-0.36015      
208.0000      	48076.9231    	-0.13561      
209.0000      	47846.8900    	-0.23491      
210.0000      	47619.0476    	0.23884       
211.0000      	47393.3649    	-0.06837      
212.0000      	47169.8113    	0.04530       
213.0000      	46948.3568    	0.10956       
214.0000      	46728.9720    	-0.06048      
215.0000      	46511.6279    	-0.01471      
216.0000      	46296.2963    	0.04775       
217.0000      	46082.9493    	0.16230       
218.0000      	45871.5596    	0.04838       
219.0000      	45662.1005    	0.00965       
220.0000      	45454.5455    	-0.02120      
221.0000      	45248.8688    	0.15899       
222.0000      	45045.0450    	0.09237       
223.0000      	44843.0493    	0.08363       
224.0000      	44642.8571    	0.00510       
225.0000      	44444.4444    	-0.06081      
226.0000      	44247.7876    	0.04018       
227.0000      	44052.8634    	0.15610       
228.0000      	43859.6491    	0.06337       
229.0000      	43668.1223    	0.03674       
230.0000      	43478.2609    	-0.02643      
231.0000      	43290.0433    	-0.02478      
232.0000      	43103.4483    	0.00206       
233.0000      	42918.4549    	-0.01332      
234.0000      	42735.0427    	0.06690       
235.0000      	42553.1915    	0.02473       
236.0000      	42372.8814    	0.01773       
237.0000      	42194.0928    	-0.02712      
238.0000      	42016.8067    	-0.01426      
239.0000      	41841.0042    	-0.02026      
240.0000      	41666.6667    	-0.00508      
241.0000      	41493.7759    	-0.01416      
242.0000      	41322.3140    	0.00524       
243.0000      	41152.2634    	0.00793       
244.0000      	40983.6066    	-0.00779      
245.0000      	40816.3265    	0.01788       
246.0000      	40650.4065    	-0.02561      
247.0000      	40485.8300    	-0.01756      
248.0000      	40322.5806    	-0.00839      
249.0000      	40160.6426    	0.01520       
250.0000      	40000.0000    	-0.00167      
251.0000      	39840.6375    	-0.00993      
252.0000      	39682.5397    	0.01846       
253.0000      	39525.6917    	0.02571       
254.0000      	39370.0787    	0.01228       
255.0000      	39215.6863    	-0.00115      
256.0000      	39062.5000    	0.00121       
257.0000      	38910.5058    	-0.00650      
258.0000      	38759.6899    	0.00000       
259.0000      	38610.0386    	0.00188       
260.0000      	38461.5385    	0.01804       
261.0000      	38314.1762    	0.00764       
262.0000      	38167.9389    	-0.01158      
263.0000      	38022.8137    	-0.00244      
264.0000      	37878.7879    	0.00580       
