Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   16:44:42

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
200.0000      	50000.0000    	1.66354       
201.0000      	49751.2438    	0.41377       
202.0000      	49504.9505    	0.76783       
203.0000      	49261.0837    	-0.58061      
204.0000      	49019.6078    	-0.28089      
205.0000      	48780.4878    	0.28845       
206.0000      	48543.6893    	0.19572       
207.0000      	48309.1787    	-0.34119      
208.0000      	48076.9231    	-0.03632      
209.0000      	47846.8900    	-0.22570      
210.0000      	47619.0476    	-0.18110      
211.0000      	47393.3649    	0.12669       
212.0000      	47169.8113    	0.25007       
213.0000      	46948.3568    	-0.06327      
214.0000      	46728.9720    	-0.21169      
215.0000      	46511.6279    	0.10084       
216.0000      	46296.2963    	-0.01999      
217.0000      	46082.9493    	0.20380       
218.0000      	45871.5596    	-0.10367      
219.0000      	45662.1005    	0.00877       
220.0000      	45454.5455    	-0.13327      
221.0000      	45248.8688    	0.05378       
222.0000      	45045.0450    	0.03612       
223.0000      	44843.0493    	-0.00530      
224.0000      	44642.8571    	-0.08836      
225.0000      	44444.4444    	-0.13617      
226.0000      	44247.7876    	0.02782       
227.0000      	44052.8634    	0.00592       
228.0000      	43859.6491    	0.04556       
229.0000      	43668.1223    	-0.00387      
230.0000      	43478.2609    	-0.00311      
231.0000      	43290.0433    	-0.00035      
232.0000      	43103.4483    	-0.01097      
233.0000      	42918.4549    	0.04616       
234.0000      	42735.0427    	0.07273       
235.0000      	42553.1915    	0.01704       
236.0000      	42372.8814    	-0.00507      
237.0000      	42194.0928    	-0.05348      
238.0000      	42016.8067    	0.00161       
239.0000      	41841.0042    	-0.04483      
240.0000      	41666.6667    	-0.02153      
241.0000      	41493.7759    	-0.01106      
242.0000      	41322.3140    	-0.00018      
243.0000      	41152.2634    	0.02464       
244.0000      	40983.6066    	0.01044       
245.0000      	40816.3265    	-0.00079      
246.0000      	40650.4065    	0.00225       
247.0000      	40485.8300    	0.01317       
248.0000      	40322.5806    	-0.00280      
249.0000      	40160.6426    	0.02852       
250.0000      	40000.0000    	-0.01913      
251.0000      	39840.6375    	-0.01586      
252.0000      	39682.5397    	0.02757       
253.0000      	39525.6917    	0.01121       
254.0000      	39370.0787    	0.01163       
255.0000      	39215.6863    	-0.00252      
256.0000      	39062.5000    	0.01128       
257.0000      	38910.5058    	0.00266       
258.0000      	38759.6899    	0.00773       
259.0000      	38610.0386    	0.01605       
260.0000      	38461.5385    	0.00337       
261.0000      	38314.1762    	-0.00539      
262.0000      	38167.9389    	-0.00755      
263.0000      	38022.8137    	0.01147       
264.0000      	37878.7879    	-0.00265      
265.0000      	37735.8491    	-0.00693      
266.0000      	37593.9850    	-0.00095      
267.0000      	37453.1835    	-0.01164      
268.0000      	37313.4328    	0.00634       
269.0000      	37174.7212    	-0.00222      
270.0000      	37037.0370    	0.00074       
271.0000      	36900.3690    	-0.00015      
272.0000      	36764.7059    	-0.00136      
273.0000      	36630.0366    	0.00274       
274.0000      	36496.3504    	0.00831       
275.0000      	36363.6364    	0.00295       
276.0000      	36231.8841    	0.00068       
277.0000      	36101.0830    	-0.00572      
278.0000      	35971.2230    	-0.00694      
279.0000      	35842.2939    	-0.00040      
280.0000      	35714.2857    	-0.00859      
281.0000      	35587.1886    	-0.00262      
282.0000      	35460.9929    	-0.00400      
283.0000      	35335.6890    	-0.01190      
284.0000      	35211.2676    	0.00370       
285.0000      	35087.7193    	0.00091       
