Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   16:59:12

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
200.0000      	50000.0000    	1.30457       
201.0000      	49751.2438    	0.60030       
202.0000      	49504.9505    	0.56925       
203.0000      	49261.0837    	-0.50181      
204.0000      	49019.6078    	-0.19868      
205.0000      	48780.4878    	0.44812       
206.0000      	48543.6893    	-0.14679      
207.0000      	48309.1787    	-0.38147      
208.0000      	48076.9231    	-0.06780      
209.0000      	47846.8900    	-0.32473      
210.0000      	47619.0476    	-0.08661      
211.0000      	47393.3649    	-0.25137      
212.0000      	47169.8113    	0.06161       
213.0000      	46948.3568    	0.03086       
214.0000      	46728.9720    	0.07495       
215.0000      	46511.6279    	-0.03466      
216.0000      	46296.2963    	0.05441       
217.0000      	46082.9493    	0.10236       
218.0000      	45871.5596    	-0.11144      
219.0000      	45662.1005    	-0.12892      
220.0000      	45454.5455    	-0.07118      
221.0000      	45248.8688    	0.12236       
222.0000      	45045.0450    	0.02570       
223.0000      	44843.0493    	-0.02002      
224.0000      	44642.8571    	-0.07024      
225.0000      	44444.4444    	-0.06496      
226.0000      	44247.7876    	0.02988       
227.0000      	44052.8634    	0.05871       
228.0000      	43859.6491    	0.00870       
229.0000      	43668.1223    	0.07464       
230.0000      	43478.2609    	0.05480       
231.0000      	43290.0433    	-0.01699      
232.0000      	43103.4483    	0.01200       
233.0000      	42918.4549    	0.05142       
234.0000      	42735.0427    	0.01138       
235.0000      	42553.1915    	0.02693       
236.0000      	42372.8814    	-0.00329      
237.0000      	42194.0928    	-0.02862      
238.0000      	42016.8067    	-0.02346      
239.0000      	41841.0042    	-0.02414      
240.0000      	41666.6667    	0.05097       
241.0000      	41493.7759    	-0.00679      
242.0000      	41322.3140    	0.02330       
243.0000      	41152.2634    	0.01585       
244.0000      	40983.6066    	0.01277       
245.0000      	40816.3265    	0.00475       
246.0000      	40650.4065    	0.01393       
247.0000      	40485.8300    	-0.00820      
248.0000      	40322.5806    	-0.01147      
249.0000      	40160.6426    	-0.00893      
250.0000      	40000.0000    	0.01194       
251.0000      	39840.6375    	0.00230       
252.0000      	39682.5397    	0.00496       
253.0000      	39525.6917    	0.02043       
254.0000      	39370.0787    	0.00937       
255.0000      	39215.6863    	-0.00661      
256.0000      	39062.5000    	0.01118       
257.0000      	38910.5058    	0.00128       
258.0000      	38759.6899    	0.00258       
259.0000      	38610.0386    	0.00150       
260.0000      	38461.5385    	0.00948       
261.0000      	38314.1762    	0.01115       
262.0000      	38167.9389    	-0.01304      
